"Points:0","Points:1","Points:2"
9.75,0.5,237.94866
9.75,0.5,237.89866
9.75,0.5,237.84866
9.75,0.5,237.79866
9.75,0.5,237.74866
10.25,0.5,239.51846
10.25,0.5,239.46846
10.25,0.5,239.41846
10.25,0.5,239.36846
10.25,0.5,239.31846
10.25,0.5,239.26846
10.25,0.5,239.21846
10.25,0.5,239.16846
10.25,0.5,239.11846
10.25,0.5,239.06846
10.25,0.5,239.01846
10.25,0.5,238.96846
10.25,0.5,238.91846
10.25,0.5,238.86846
10.25,0.5,238.81846
10.25,0.5,238.76846
10.25,0.5,238.71846
10.25,0.5,238.66846
10.25,0.5,238.61846
10.25,0.5,238.56846
10.25,0.5,238.51846
10.25,0.5,238.46846
10.25,0.5,238.41846
10.25,0.5,238.36846
10.25,0.5,238.31846
10.25,0.5,238.26846
10.25,0.5,238.21846
10.25,0.5,238.16846
10.25,0.5,238.11846
10.25,0.5,238.06846
10.25,0.5,238.01846
10.25,0.5,237.96846
10.25,0.5,237.91846
10.25,0.5,237.86846
10.25,0.5,237.81846
10.25,0.5,237.76846
10.75,0.5,239.53825
10.75,0.5,239.48825
10.75,0.5,239.43826
10.75,0.5,239.38826
10.75,0.5,239.33826
10.75,0.5,239.28825
10.75,0.5,239.23825
10.75,0.5,239.18826
10.75,0.5,239.13826
10.75,0.5,239.08826
10.75,0.5,239.03825
10.75,0.5,238.98825
10.75,0.5,238.93826
10.75,0.5,238.88826
10.75,0.5,238.83826
10.75,0.5,238.78825
10.75,0.5,238.73825
10.75,0.5,238.68826
10.75,0.5,238.63826
10.75,0.5,238.58826
10.75,0.5,238.53825
10.75,0.5,238.48825
10.75,0.5,238.43826
10.75,0.5,238.38826
10.75,0.5,238.33826
10.75,0.5,238.28825
10.75,0.5,238.23825
10.75,0.5,238.18826
10.75,0.5,238.13826
10.75,0.5,238.08826
10.75,0.5,238.03825
10.75,0.5,237.98825
10.75,0.5,237.93826
10.75,0.5,237.88826
10.75,0.5,237.83826
10.75,0.5,237.78825
11.25,0.5,239.55805
11.25,0.5,239.50805
11.25,0.5,239.45805
11.25,0.5,239.40805
11.25,0.5,239.35806
11.25,0.5,239.30805
11.25,0.5,239.25805
11.25,0.5,239.20805
11.25,0.5,239.15805
11.25,0.5,239.10806
11.25,0.5,239.05805
11.25,0.5,239.00805
11.25,0.5,238.95805
11.25,0.5,238.90805
11.25,0.5,238.85806
11.25,0.5,238.80805
11.25,0.5,238.75805
11.25,0.5,238.70805
11.25,0.5,238.65805
11.25,0.5,238.60806
11.25,0.5,238.55805
11.25,0.5,238.50805
11.25,0.5,238.45805
11.25,0.5,238.40805
11.25,0.5,238.35806
11.25,0.5,238.30805
11.25,0.5,238.25805
11.25,0.5,238.20805
11.25,0.5,238.15805
11.25,0.5,238.10806
11.25,0.5,238.05805
11.25,0.5,238.00805
11.25,0.5,237.95805
11.25,0.5,237.90805
11.25,0.5,237.85806
11.25,0.5,237.80805
8.75,0.5,237.65906
8.75,0.5,237.60906
8.75,0.5,237.55906
8.75,0.5,237.50906
8.75,0.5,237.33406
8.75,0.5,236.78406
8.75,0.5,235.73406
8.75,0.5,234.18406
8.75,0.5,232.13406
8.75,0.5,229.58406
8.75,0.5,226.53406
8.75,0.5,222.98406
9.25,0.5,237.67886
9.25,0.5,237.62886
9.25,0.5,237.57886
9.25,0.5,237.52886
9.25,0.5,237.35386
9.25,0.5,236.80386
9.25,0.5,235.75386
9.25,0.5,234.20386
9.25,0.5,232.15386
9.25,0.5,229.60386
9.25,0.5,226.55386
9.25,0.5,223.00386
9.75,0.5,237.69866
9.75,0.5,237.64866
9.75,0.5,237.59866
9.75,0.5,237.54866
9.75,0.5,237.37366
9.75,0.5,236.82366
9.75,0.5,235.77366
9.75,0.5,234.22366
9.75,0.5,232.17366
9.75,0.5,229.62366
9.75,0.5,226.57366
9.75,0.5,223.02366
10.25,0.5,237.71846
10.25,0.5,237.66846
